Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Model,Body Type,Reliability Score
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,30000.0,Petrol/Hybrid,5,400 Nm,CR-V,mpv,4.5
KIA,SPORTAGE EX,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,30000.0,Petrol,5,250 Nm,SPORTAGE,mpv,4.0
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187 hp,180 km/h,6.1 sec,30500.0,Petrol/Hybrid,5,400 Nm,Tucson,mpv,4.0
Jeep,Compass,2.0L Turbo Gasoline,2000 cc,200 hp,200 km/h,7.8 sec,31590.0,Petrol,5,320 Nm,Compass,mpv,4.0
KIA,SPORTAGE GT-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,32000.0,Petrol,5,350 Nm,SPORTAGE,mpv,4.0
Nissan,Rogue Sport SL,2.0L Inline-4,1998 cc,141 HP,190 km/h,9.0 sec,32000.0,Petrol,5,195 Nm,Rogue,mpv,4.0
KIA,SPORTAGE X-LINE,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,32500.0,Petrol,5,350 Nm,SPORTAGE,mpv,4.0
KIA,SPORTAGE NIGHTFALL EDITION,I4,"2,480 cc",187 hp,200 km/h,8.0 sec,33000.0,Petrol,5,350 Nm,SPORTAGE,mpv,4.0
TOYOTA,VENZA,I4,"2,494 cc",219 hp,200 km/h,7.5 sec,33400.0,Hybrid,5,400 Nm,VENZA,mpv,4.0
Kia,Sorento LX,2.5L 4-Cylinder,2500 cc,191 hp,210 km/h,8.5 sec,35500.0,Petrol,7,246 Nm,Sorento,mpv,4.0
KIA,SPORTAGE SX TURBO,I4,"1,998 cc",240 hp,210 km/h,6.7 sec,36000.0,Petrol,5,400 Nm,SPORTAGE,mpv,4.0
KIA,SPORTAGE 2024(X-PRO),I4,"2,480 cc",187 hp,200 km/h,8.1 sec,36000.0,Petrol,5,400 Nm,SPORTAGE,mpv,4.0
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,"1,600 cc / 1.49 kwh",227 hp,180 km/h,8.0 sec,37000.0,Hybrid,5,350 Nm,SPORTAGE,mpv,4.0
